step,tree,operations,time_ms
init,AVL,100,0.033
init,AVL,200,0.100
init,AVL,300,0.126
init,AVL,400,0.151
init,AVL,500,0.175
init,AVL,600,0.201
init,AVL,700,0.225
init,AVL,800,0.251
init,AVL,900,0.278
init,AVL,1000,0.302
init,AVL,1100,0.328
init,AVL,1200,0.355
init,AVL,1300,0.385
init,AVL,1400,0.414
init,AVL,1500,0.442
init,AVL,1600,0.468
init,AVL,1700,0.495
init,AVL,1800,0.524
init,AVL,1900,0.551
init,AVL,2000,0.579
init,AVL,2100,0.608
init,AVL,2200,0.635
init,AVL,2300,0.680
init,AVL,2400,0.728
init,AVL,2500,0.757
init,AVL,2600,0.785
init,AVL,2700,0.814
init,AVL,2800,0.857
init,AVL,2900,0.884
init,AVL,3000,0.912
init,AVL,3100,0.969
init,AVL,3200,0.999
init,AVL,3300,1.028
init,RB,100,0.032
init,RB,200,0.137
init,RB,300,0.165
init,RB,400,0.201
init,RB,500,0.231
init,RB,600,0.260
init,RB,700,0.294
init,RB,800,0.327
init,RB,900,0.362
init,RB,1000,0.388
init,RB,1100,0.426
init,RB,1200,0.459
init,RB,1300,0.486
init,RB,1400,0.533
init,RB,1500,0.561
init,RB,1600,0.586
init,RB,1700,0.631
init,RB,1800,0.659
init,RB,1900,0.688
init,RB,2000,0.733
init,RB,2100,0.762
init,RB,2200,0.806
init,RB,2300,0.834
init,RB,2400,0.861
init,RB,2500,0.929
init,RB,2600,0.957
init,RB,2700,0.984
init,RB,2800,1.010
init,RB,2900,1.036
init,RB,3000,1.062
init,RB,3100,1.124
init,RB,3200,1.152
init,RB,3300,1.179
delete,AVL,100,0.142
delete,RB,100,0.116
insert,AVL,100,0.353
insert,RB,100,0.103
