run,tree,step,ops_completed,time_ms
1,AVL,init,10,0.0059
1,AVL,init,20,0.0370
1,AVL,init,30,0.0430
1,AVL,init,40,0.0487
1,AVL,init,50,0.0542
1,AVL,init,60,0.0596
1,AVL,init,70,0.0650
1,AVL,init,80,0.0713
1,AVL,init,90,0.0765
1,AVL,init,100,0.0820
1,AVL,init,110,0.0875
1,AVL,init,120,0.0932
1,AVL,init,130,0.0984
1,AVL,init,140,0.1044
1,AVL,init,150,0.1104
1,AVL,init,160,0.1163
1,AVL,init,170,0.1231
1,AVL,init,180,0.1292
1,AVL,init,190,0.1350
1,AVL,init,200,0.1411
1,AVL,init,210,0.1475
1,AVL,init,220,0.1534
1,AVL,init,230,0.1594
1,AVL,init,240,0.1654
1,AVL,init,250,0.1719
1,AVL,init,260,0.1778
1,AVL,init,270,0.1841
1,AVL,init,280,0.1905
1,AVL,init,290,0.1973
1,AVL,init,300,0.2035
1,AVL,init,310,0.2099
1,AVL,init,320,0.2162
1,AVL,init,330,0.2233
1,AVL,init,340,0.2296
1,AVL,init,350,0.2358
1,AVL,init,360,0.2421
1,AVL,init,370,0.2493
1,AVL,init,380,0.2555
1,AVL,init,390,0.2617
1,AVL,init,400,0.2679
1,AVL,init,410,0.2740
1,AVL,init,420,0.2803
1,AVL,init,430,0.2865
1,AVL,init,440,0.2929
1,AVL,init,450,0.2998
1,AVL,init,460,0.3062
1,AVL,init,470,0.3123
1,AVL,init,480,0.3187
1,AVL,init,490,0.3250
1,AVL,init,500,0.3310
1,AVL,init,510,0.3370
1,AVL,init,520,0.3435
1,AVL,init,530,0.3502
1,AVL,init,540,0.3576
1,AVL,init,550,0.3644
1,AVL,init,560,0.3713
1,AVL,init,570,0.3918
1,AVL,init,580,0.4000
1,AVL,init,590,0.4072
1,AVL,init,600,0.4142
1,AVL,init,610,0.4210
1,AVL,init,620,0.4291
1,AVL,init,630,0.4355
1,AVL,init,640,0.4417
1,AVL,init,650,0.4481
1,AVL,init,660,0.4547
1,AVL,init,670,0.4610
1,AVL,init,680,0.4676
1,AVL,init,690,0.4742
1,AVL,init,700,0.4812
1,AVL,init,710,0.4898
1,AVL,init,720,0.4970
1,AVL,init,730,0.5038
1,AVL,init,740,0.5102
1,AVL,init,750,0.5171
1,AVL,init,760,0.5238
1,AVL,init,770,0.5302
1,AVL,init,780,0.5367
1,AVL,init,790,0.5430
1,AVL,init,800,0.5496
1,AVL,init,810,0.5562
1,AVL,init,820,0.5629
1,AVL,init,830,0.5694
1,AVL,init,840,0.5758
1,AVL,init,850,0.5825
1,AVL,init,860,0.5888
1,AVL,init,870,0.5953
1,AVL,init,880,0.6034
